Date(UTC),UnixTimeStamp,No. of ERC20 Token Transfers
,,
30-07-2015,1438214400,0
,,
31-07-2015,1438300800,0
,,
01-08-2015,1438387200,0
,,
02-08-2015,1438473600,0
,,
03-08-2015,1438560000,0
,,
04-08-2015,1438646400,0
,,
05-08-2015,1438732800,0
,,
06-08-2015,1438819200,0
,,
07-08-2015,1438905600,0
,,
08-08-2015,1438992000,0
,,
09-08-2015,1439078400,0
,,
10-08-2015,1439164800,0
,,
11-08-2015,1439251200,0
,,
12-08-2015,1439337600,0
,,
13-08-2015,1439424000,0
,,
14-08-2015,1439510400,0
,,
15-08-2015,1439596800,0
,,
16-08-2015,1439683200,0
,,
17-08-2015,1439769600,0
,,
18-08-2015,1439856000,0
,,
19-08-2015,1439942400,0
,,
20-08-2015,1440028800,0
,,
21-08-2015,1440115200,0
,,
22-08-2015,1440201600,0
,,
23-08-2015,1440288000,0
,,
24-08-2015,1440374400,0
,,
25-08-2015,1440460800,0
,,
26-08-2015,1440547200,0
,,
27-08-2015,1440633600,0
,,
28-08-2015,1440720000,0
,,
29-08-2015,1440806400,0
,,
30-08-2015,1440892800,0
,,
31-08-2015,1440979200,0
,,
01-09-2015,1441065600,0
,,
02-09-2015,1441152000,0
,,
03-09-2015,1441238400,0
,,
04-09-2015,1441324800,0
,,
05-09-2015,1441411200,0
,,
06-09-2015,1441497600,0
,,
07-09-2015,1441584000,0
,,
08-09-2015,1441670400,0
,,
09-09-2015,1441756800,0
,,
10-09-2015,1441843200,0
,,
11-09-2015,1441929600,0
,,
12-09-2015,1442016000,0
,,
13-09-2015,1442102400,0
,,
14-09-2015,1442188800,0
,,
15-09-2015,1442275200,0
,,
16-09-2015,1442361600,0
,,
17-09-2015,1442448000,0
,,
18-09-2015,1442534400,0
,,
19-09-2015,1442620800,0
,,
20-09-2015,1442707200,0
,,
21-09-2015,1442793600,0
,,
22-09-2015,1442880000,0
,,
23-09-2015,1442966400,0
,,
24-09-2015,1443052800,0
,,
25-09-2015,1443139200,0
,,
26-09-2015,1443225600,0
,,
27-09-2015,1443312000,0
,,
28-09-2015,1443398400,0
,,
29-09-2015,1443484800,0
,,
30-09-2015,1443571200,0
,,
01-10-2015,1443657600,0
,,
02-10-2015,1443744000,0
,,
03-10-2015,1443830400,0
,,
04-10-2015,1443916800,0
,,
05-10-2015,1444003200,0
,,
06-10-2015,1444089600,0
,,
07-10-2015,1444176000,0
,,
08-10-2015,1444262400,0
,,
09-10-2015,1444348800,0
,,
10-10-2015,1444435200,0
,,
11-10-2015,1444521600,0
,,
12-10-2015,1444608000,0
,,
13-10-2015,1444694400,0
,,
14-10-2015,1444780800,0
,,
15-10-2015,1444867200,0
,,
16-10-2015,1444953600,0
,,
17-10-2015,1445040000,0
,,
18-10-2015,1445126400,0
,,
19-10-2015,1445212800,0
,,
20-10-2015,1445299200,0
,,
21-10-2015,1445385600,0
,,
22-10-2015,1445472000,0
,,
23-10-2015,1445558400,0
,,
24-10-2015,1445644800,0
,,
25-10-2015,1445731200,0
,,
26-10-2015,1445817600,0
,,
27-10-2015,1445904000,0
,,
28-10-2015,1445990400,0
,,
29-10-2015,1446076800,0
,,
30-10-2015,1446163200,3
,,
31-10-2015,1446249600,0
,,
01-11-2015,1446336000,0
,,
02-11-2015,1446422400,1
,,
03-11-2015,1446508800,30
,,
04-11-2015,1446595200,18
,,
05-11-2015,1446681600,12
,,
06-11-2015,1446768000,0
,,
07-11-2015,1446854400,0
,,
08-11-2015,1446940800,18
,,
09-11-2015,1447027200,39
,,
10-11-2015,1447113600,39
,,
11-11-2015,1447200000,27
,,
12-11-2015,1447286400,5
,,
13-11-2015,1447372800,3
,,
14-11-2015,1447459200,1
,,
15-11-2015,1447545600,4
,,
16-11-2015,1447632000,2
,,
17-11-2015,1447718400,0
,,
18-11-2015,1447804800,1
,,
19-11-2015,1447891200,0
,,
20-11-2015,1447977600,2
,,
21-11-2015,1448064000,0
,,
22-11-2015,1448150400,0
,,
